phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target,source,label
9467654.0,https://533fd606-2144-4713-9f95-c0142132278e-00-b8ttsesj8jd6.riker.replit.dev/,http://www.phishtank.com/phish_detail.php?phish_id=9467654,2026-07-01T20:07:26+00:00,yes,2026-07-01T20:12:45+00:00,yes,Other,,1
9467653.0,https://533fd606-2144-4713-9f95-c0142132278e-00-b8ttsesj8jd6.riker.replit.dev/index1.html,http://www.phishtank.com/phish_detail.php?phish_id=9467653,2026-07-01T20:07:13+00:00,yes,2026-07-01T20:12:45+00:00,yes,Other,,1
9467649.0,https://ma-cledigitale.com/index.php,http://www.phishtank.com/phish_detail.php?phish_id=9467649,2026-07-01T19:33:53+00:00,yes,2026-07-01T19:52:15+00:00,yes,SociÃÂ©tÃÂ© GÃÂ©nÃÂ©rale,,1
9467648.0,https://www.ma-cledigitale.com/,http://www.phishtank.com/phish_detail.php?phish_id=9467648,2026-07-01T19:32:14+00:00,yes,2026-07-01T19:52:15+00:00,yes,SociÃÂ©tÃÂ© GÃÂ©nÃÂ©rale,,1
9467647.0,http://allegrolokalnie.pl-id-2383.shop,http://www.phishtank.com/phish_detail.php?phish_id=9467647,2026-07-01T19:26:46+00:00,yes,2026-07-01T19:32:49+00:00,yes,Allegro,,1
9467646.0,http://allegro.ofeta-62941432.shop,http://www.phishtank.com/phish_detail.php?phish_id=9467646,2026-07-01T19:26:17+00:00,yes,2026-07-01T19:32:49+00:00,yes,Allegro,,1
9467645.0,http://allegrolokalnie.ofeta-62941432.shop,http://www.phishtank.com/phish_detail.php?phish_id=9467645,2026-07-01T19:26:11+00:00,yes,2026-07-01T19:32:49+00:00,yes,Allegro,,1
9467644.0,https://allegro.pl-id-2383.shop/,http://www.phishtank.com/phish_detail.php?phish_id=9467644,2026-07-01T19:19:34+00:00,yes,2026-07-01T19:22:47+00:00,yes,Allegro,,1
9467643.0,https://bridges-trzr.wixstudio.com/eng-us,http://www.phishtank.com/phish_detail.php?phish_id=9467643,2026-07-01T19:17:39+00:00,yes,2026-07-01T19:22:47+00:00,yes,Other,,1
9467642.0,https://apps-ledzerwllt.wixstudio.com/en-us,http://www.phishtank.com/phish_detail.php?phish_id=9467642,2026-07-01T19:17:25+00:00,yes,2026-07-01T19:22:47+00:00,yes,Other,,1
9467641.0,https://homeapp--startio.wixstudio.com/en-us,http://www.phishtank.com/phish_detail.php?phish_id=9467641,2026-07-01T19:17:11+00:00,yes,2026-07-01T19:22:47+00:00,yes,Other,,1
9467640.0,https://desktopsuite-ledgcdn.wixstudio.com/us-en,http://www.phishtank.com/phish_detail.php?phish_id=9467640,2026-07-01T19:16:56+00:00,yes,2026-07-01T19:22:47+00:00,yes,Other,,1
9467639.0,https://talkify006.top/,http://www.phishtank.com/phish_detail.php?phish_id=9467639,2026-07-01T19:14:42+00:00,yes,2026-07-01T19:22:47+00:00,yes,Amazon.com,,1
9467638.0,https://talkify006.top/loading.php,http://www.phishtank.com/phish_detail.php?phish_id=9467638,2026-07-01T19:14:32+00:00,yes,2026-07-01T19:22:47+00:00,yes,Amazon.com,,1
9467637.0,https://homesuit-trezo.wixstudio.com/suite,http://www.phishtank.com/phish_detail.php?phish_id=9467637,2026-07-01T19:12:51+00:00,yes,2026-07-01T19:22:47+00:00,yes,Other,,1
9467636.0,https://strt-trezrcdn.wixstudio.com/en-us,http://www.phishtank.com/phish_detail.php?phish_id=9467636,2026-07-01T19:12:38+00:00,yes,2026-07-01T19:22:47+00:00,yes,Other,,1
9467635.0,https://gettingstart-bridge.wixstudio.com/en-us,http://www.phishtank.com/phish_detail.php?phish_id=9467635,2026-07-01T19:12:26+00:00,yes,2026-07-01T19:22:47+00:00,yes,Other,,1
9467634.0,https://appmeteora-exchange.wixstudio.com/us-en,http://www.phishtank.com/phish_detail.php?phish_id=9467634,2026-07-01T19:12:10+00:00,yes,2026-07-01T19:22:47+00:00,yes,Other,,1
9467633.0,https://iostart-trezio.wixstudio.com/en-us,http://www.phishtank.com/phish_detail.php?phish_id=9467633,2026-07-01T19:11:56+00:00,yes,2026-07-01T19:22:47+00:00,yes,Other,,1
9467629.0,https://startio-trezroapps.wixstudio.com/us-en,http://www.phishtank.com/phish_detail.php?phish_id=9467629,2026-07-01T19:07:52+00:00,yes,2026-07-01T19:13:01+00:00,yes,Other,,1
9467628.0,https://startsio-suiteapp.wixstudio.com/en-us,http://www.phishtank.com/phish_detail.php?phish_id=9467628,2026-07-01T19:07:38+00:00,yes,2026-07-01T19:13:01+00:00,yes,Other,,1
9467627.0,https://strt-trezrcdn.wixstudio.com/us-en,http://www.phishtank.com/phish_detail.php?phish_id=9467627,2026-07-01T19:07:23+00:00,yes,2026-07-01T19:13:01+00:00,yes,Other,,1
9467626.0,https://startio-trezroapps.wixstudio.com/en-us,http://www.phishtank.com/phish_detail.php?phish_id=9467626,2026-07-01T19:07:09+00:00,yes,2026-07-01T19:13:01+00:00,yes,Other,,1
9467625.0,https://iheyl1.wixstudio.com/trust/solutions,http://www.phishtank.com/phish_detail.php?phish_id=9467625,2026-07-01T19:06:55+00:00,yes,2026-07-01T19:13:01+00:00,yes,Other,,1
9467624.0,https://hub-extnsions.wixstudio.com/us-en,http://www.phishtank.com/phish_detail.php?phish_id=9467624,2026-07-01T19:06:26+00:00,yes,2026-07-01T19:13:01+00:00,yes,Other,,1
9467623.0,https://pagebase-extnsons.wixstudio.com/en-us,http://www.phishtank.com/phish_detail.php?phish_id=9467623,2026-07-01T19:06:12+00:00,yes,2026-07-01T19:13:01+00:00,yes,Other,,1
9467622.0,https://connect-rabbyy.wixstudio.com/us-en,http://www.phishtank.com/phish_detail.php?phish_id=9467622,2026-07-01T19:05:59+00:00,yes,2026-07-01T19:13:01+00:00,yes,Other,,1
9467621.0,https://en-lacs-apps.wixstudio.com/us-en,http://www.phishtank.com/phish_detail.php?phish_id=9467621,2026-07-01T19:05:44+00:00,yes,2026-07-01T19:13:01+00:00,yes,Other,,1
9467620.0,https://appstart-ledgrecdn.wixstudio.com/en-us,http://www.phishtank.com/phish_detail.php?phish_id=9467620,2026-07-01T19:05:32+00:00,yes,2026-07-01T19:13:01+00:00,yes,Other,,1
9467619.0,https://startsso-ldgercum.wixstudio.com/us-en,http://www.phishtank.com/phish_detail.php?phish_id=9467619,2026-07-01T19:03:36+00:00,yes,2026-07-01T19:13:01+00:00,yes,Other,,1
9467618.0,https://startsapps-ledgrcom.wixstudio.com/us-en,http://www.phishtank.com/phish_detail.php?phish_id=9467618,2026-07-01T19:03:21+00:00,yes,2026-07-01T19:13:01+00:00,yes,Other,,1
9467617.0,https://desktops-studiocdn.wixstudio.com/en-us,http://www.phishtank.com/phish_detail.php?phish_id=9467617,2026-07-01T19:03:08+00:00,yes,2026-07-01T19:13:01+00:00,yes,Other,,1
9467613.0,https://pantrycollective.life/spid/,http://www.phishtank.com/phish_detail.php?phish_id=9467613,2026-07-01T18:56:09+00:00,yes,2026-07-01T19:13:01+00:00,yes,Other,,1
9467612.0,http://allegro.smart-oferta893888921.sbs,http://www.phishtank.com/phish_detail.php?phish_id=9467612,2026-07-01T18:53:33+00:00,yes,2026-07-01T19:13:01+00:00,yes,Allegro,,1
9467611.0,http://allegrolokalnie.smart-oferta893888921.sbs,http://www.phishtank.com/phish_detail.php?phish_id=9467611,2026-07-01T18:53:26+00:00,yes,2026-07-01T19:13:01+00:00,yes,Allegro,,1
9467610.0,https://allegrolokalnie.eoferta.xyz/oferta/id-bf9ms6-pamiec-ram-kingston-fury-32gb---okazja,http://www.phishtank.com/phish_detail.php?phish_id=9467610,2026-07-01T18:51:37+00:00,yes,2026-07-01T19:13:01+00:00,yes,Allegro,,1
9467609.0,https://surje.co/j/,http://www.phishtank.com/phish_detail.php?phish_id=9467609,2026-07-01T18:49:46+00:00,yes,2026-07-01T19:13:01+00:00,yes,Other,,1
9467607.0,https://cfg.smt.docomo.eqianchaeng.com,http://www.phishtank.com/phish_detail.php?phish_id=9467607,2026-07-01T18:49:45+00:00,yes,2026-07-01T19:13:01+00:00,yes,Other,,1
9467608.0,https://surje.co/j,http://www.phishtank.com/phish_detail.php?phish_id=9467608,2026-07-01T18:49:45+00:00,yes,2026-07-01T19:13:01+00:00,yes,Other,,1
9467606.0,https://communitybk2goonllrecoveraccess.weebly.com,http://www.phishtank.com/phish_detail.php?phish_id=9467606,2026-07-01T18:49:44+00:00,yes,2026-07-01T19:13:01+00:00,yes,Other,,1
9467605.0,https://BAC-cvnyt.com,http://www.phishtank.com/phish_detail.php?phish_id=9467605,2026-07-01T18:49:43+00:00,yes,2026-07-01T19:13:01+00:00,yes,Other,,1
9467602.0,http://allegro-lokalnie.pl-1984334.shop,http://www.phishtank.com/phish_detail.php?phish_id=9467602,2026-07-01T18:43:17+00:00,yes,2026-07-01T18:52:27+00:00,yes,Allegro,,1
